iter	Passed	Remaining
0	0	803
1	1	760
2	2	743
3	2	719
4	3	706
5	4	695
6	4	683
7	5	687
8	6	709
9	7	701
10	7	692
11	8	688
12	8	675
13	9	667
14	10	661
15	10	653
16	11	650
17	11	647
18	12	647
19	13	647
20	13	647
21	14	646
22	15	647
23	15	645
24	16	649
25	17	647
26	18	649
27	18	649
28	19	650
29	20	649
30	20	647
31	21	643
32	21	641
33	22	639
34	23	638
35	23	639
36	24	638
37	25	639
38	25	638
39	26	636
40	27	635
41	27	636
42	28	634
43	29	633
44	29	632
45	30	633
46	31	634
47	32	636
48	32	640
49	33	639
50	34	638
51	34	637
52	35	636
53	36	635
54	36	634
55	38	643
56	38	643
57	39	643
58	40	644
59	41	643
60	41	642
61	42	646
62	43	646
63	44	652
64	45	651
65	46	651
66	46	652
67	47	652
68	48	652
69	49	655
70	50	655
71	50	655
72	51	653
73	52	653
74	53	656
75	53	656
76	55	661
77	55	659
78	56	658
79	57	657
80	57	655
81	58	654
82	58	649
83	59	649
84	60	648
85	60	648
86	61	647
87	62	648
88	63	647
89	64	647
90	64	645
91	65	644
92	65	643
93	66	643
94	67	644
95	68	648
96	69	647
97	70	645
98	70	642
99	71	640
100	71	637
101	72	635
102	72	632
103	73	630
104	73	629
105	74	629
106	75	629
107	76	629
108	76	629
109	77	627
110	78	626
111	78	626
112	79	625
113	80	625
114	81	626
115	82	630
116	83	628
117	83	627
118	84	625
119	85	624
120	86	626
121	86	625
122	87	623
123	88	623
124	89	623
125	89	622
126	90	620
127	90	619
128	91	619
129	92	619
130	93	617
131	93	616
132	94	615
133	95	614
134	95	614
135	96	613
136	97	612
137	97	611
138	98	612
139	99	610
140	100	609
141	100	607
142	101	605
143	101	604
144	102	602
145	102	600
146	103	599
147	104	598
148	104	597
149	105	597
150	106	596
151	106	596
152	107	595
153	108	594
154	108	593
155	109	592
156	110	591
157	110	591
158	112	596
159	113	596
160	114	594
161	114	592
162	115	591
163	115	589
164	116	587
165	116	586
166	119	595
167	120	594
168	120	594
169	121	592
170	122	591
171	122	590
172	124	593
173	124	593
174	125	592
175	126	591
176	127	590
177	127	589
178	128	588
179	128	587
180	129	588
181	130	586
182	131	585
183	131	585
184	132	584
185	133	584
186	134	583
187	135	583
188	136	584
189	137	584
190	137	584
191	138	583
192	139	582
193	140	581
194	140	581
195	141	579
196	142	578
197	142	577
198	143	576
199	144	576
200	144	574
201	145	573
202	145	572
203	146	570
204	146	569
205	147	567
206	147	566
207	148	566
208	149	566
209	150	565
210	151	564
211	151	563
212	152	562
213	152	561
214	153	561
215	154	560
216	155	560
217	156	560
218	156	559
219	157	558
220	157	556
221	158	555
222	159	554
223	159	552
224	160	551
225	161	552
226	161	551
227	162	550
228	163	549
229	164	549
230	164	548
231	165	548
232	166	546
233	166	545
234	167	546
235	168	545
236	169	545
237	170	544
238	170	543
239	171	542
240	172	541
241	172	540
242	173	541
243	175	542
244	175	541
245	176	540
246	176	539
247	177	538
248	178	537
249	178	536
250	179	535
251	180	535
252	180	534
253	181	533
254	182	532
255	182	531
256	183	530
257	184	529
258	184	528
259	185	528
260	186	527
261	187	526
262	187	526
263	188	525
264	189	524
265	189	523
266	190	522
267	190	520
268	191	519
269	191	518
270	192	517
271	193	517
272	194	516
273	194	516
274	195	515
275	196	514
276	197	514
277	197	513
278	198	513
279	199	512
280	200	511
281	200	510
282	201	509
283	201	508
284	202	507
285	203	506
286	203	506
287	204	505
288	204	504
289	205	503
290	206	502
291	206	501
292	207	501
293	208	500
294	209	500
295	210	499
296	210	498
297	211	497
298	212	497
299	212	496
300	213	495
301	214	495
302	214	494
303	215	493
304	216	492
305	217	492
306	217	491
307	218	490
308	218	488
309	219	487
310	219	486
311	220	485
312	220	484
313	221	483
314	221	482
315	222	481
316	223	481
317	223	480
318	224	479
319	225	479
320	226	478
321	226	477
322	227	476
323	227	475
324	228	474
325	229	473
326	229	472
327	230	471
328	230	470
329	231	469
330	231	468
331	232	467
332	232	466
333	233	465
334	233	464
335	234	462
336	234	461
337	235	460
338	235	459
339	236	458
340	236	457
341	237	457
342	238	456
343	239	456
344	239	455
345	240	454
346	241	454
347	242	453
348	242	452
349	243	452
350	244	451
351	244	450
352	245	449
353	245	448
354	246	447
355	246	446
356	247	445
357	247	444
358	248	443
359	248	442
360	249	441
361	249	440
362	250	439
363	250	438
364	251	437
365	251	436
366	252	435
367	253	435
368	254	434
369	254	433
370	255	433
371	256	432
372	257	432
373	257	431
374	258	431
375	259	430
376	260	429
377	260	428
378	261	427
379	261	426
380	262	425
381	262	424
382	263	423
383	263	422
384	264	422
385	264	421
386	265	420
387	265	419
388	266	418
389	267	417
390	267	417
391	268	416
392	269	415
393	269	415
394	270	414
395	271	413
396	271	413
397	272	412
398	273	411
399	274	411
400	274	410
401	275	409
402	275	408
403	276	407
404	276	406
405	277	405
406	277	404
407	278	403
408	278	403
409	279	402
410	279	401
411	280	400
412	281	399
413	281	398
414	282	397
415	282	397
416	283	396
417	284	396
418	284	395
419	285	394
420	286	393
421	287	393
422	287	392
423	288	391
424	289	391
425	289	390
426	290	389
427	290	388
428	291	387
429	291	386
430	292	385
431	292	384
432	293	383
433	293	383
434	294	382
435	294	381
436	295	380
437	295	379
438	296	378
439	297	378
440	297	377
441	298	376
442	299	376
443	300	375
444	300	374
445	301	374
446	302	373
447	303	373
448	304	373
449	305	372
450	305	372
451	306	371
452	306	370
453	307	369
454	308	369
455	308	368
456	309	367
457	309	366
458	310	365
459	310	364
460	311	364
461	312	363
462	313	363
463	313	362
464	314	361
465	315	361
466	316	360
467	316	360
468	317	359
469	318	358
470	318	357
471	319	357
472	319	356
473	320	355
474	320	354
475	321	353
476	321	352
477	322	352
478	322	351
479	323	350
480	323	349
481	324	348
482	325	347
483	325	347
484	326	346
485	326	345
486	327	345
487	328	344
488	329	343
489	329	343
490	330	342
491	331	342
492	332	341
493	333	341
494	334	341
495	334	340
496	335	339
497	336	338
498	336	338
499	337	337
500	337	336
501	338	335
502	338	334
503	339	334
504	339	333
505	340	332
506	341	331
507	341	330
508	342	330
509	343	329
510	344	329
511	344	328
512	345	328
513	346	327
514	347	327
515	347	326
516	348	325
517	349	324
518	349	324
519	350	323
520	350	322
521	351	321
522	351	320
523	352	320
524	352	319
525	353	318
526	353	317
527	354	316
528	354	315
529	355	315
530	356	314
531	356	313
532	357	313
533	358	312
534	358	311
535	359	311
536	360	310
537	360	309
538	361	309
539	362	308
540	362	307
541	363	307
542	364	306
543	364	305
544	365	304
545	365	303
546	366	303
547	366	302
548	367	301
549	367	300
550	368	299
551	368	299
552	369	298
553	369	297
554	370	296
555	370	296
556	371	295
557	372	294
558	373	294
559	373	293
560	374	293
561	375	292
562	376	291
563	376	291
564	377	290
565	378	289
566	378	289
567	379	288
568	379	287
569	380	286
570	380	286
571	381	285
572	381	284
573	382	283
574	382	283
575	383	282
576	383	281
577	384	280
578	385	279
579	386	279
580	386	278
581	387	278
582	388	277
583	388	276
584	389	276
585	390	275
586	391	275
587	391	274
588	392	273
589	392	273
590	393	272
591	394	271
592	394	270
593	395	270
594	395	269
595	396	268
596	396	267
597	397	267
598	397	266
599	398	265
600	398	264
601	399	264
602	400	263
603	401	262
604	401	262
605	402	261
606	403	261
607	403	260
608	404	259
609	405	259
610	406	258
611	406	257
612	407	257
613	408	256
614	408	255
615	409	255
616	409	254
617	410	253
618	410	252
619	411	251
620	411	251
621	412	250
622	412	249
623	413	248
624	413	248
625	414	247
626	414	246
627	415	246
628	416	245
629	417	244
630	417	244
631	418	243
632	418	242
633	419	242
634	420	241
635	421	241
636	421	240
637	422	239
638	423	239
639	423	238
640	424	237
641	424	236
642	425	236
643	425	235
644	426	234
645	426	233
646	427	233
647	427	232
648	428	231
649	429	231
